Nome,Categoria,Endereço,Telefone,Email,Website,Origem
GSD Dental Clinics,Medicina,"R. Duque de Palmela 6 Loja 11, 1250-098 Lisboa, Portugal",21 315 8086,N/A (Google não fornece e-mail diretamente),https://www.gsd-dentalclinics.com/clinica/lisboa?utm_source=gmb_lisboa&utm_medium=organic,Google Places API
Clínica São Dente,Medicina,"R. Borges Carneiro 20B, 1200-619 Lisboa, Portugal",21 397 0096,N/A (Google não fornece e-mail diretamente),http://www.saodente.pt/,Google Places API
Rasteiro Maya | Medicina Dentária,Medicina,"Avenida 5 de Outubro 33, 1050-114 Lisboa, Portugal",960 223 891,N/A (Google não fornece e-mail diretamente),https://www.dentista-lisboa.pt/,Google Places API
Institute of Implantology,Medicina,"Av. Columbano Bordalo Pinheiro 50, 1070-064 Lisboa, Portugal",21 721 0980,N/A (Google não fornece e-mail diretamente),http://www.institutodeimplantologia.pt/,Google Places API
Centro Dentário Colombo,Medicina,"Av. Lusíada 2 piso -1, 1500-392 Lisboa, Portugal",21 604 1355,N/A (Google não fornece e-mail diretamente),https://centrodentariocolombo.pt/,Google Places API
DIRECLIN Roma - Clínica Dentária,Medicina,"Largo Machado de Assis 9G, 1700-116 Lisboa, Portugal",21 014 8366,N/A (Google não fornece e-mail diretamente),http://www.direclin.com/,Google Places API
Instituto Dentário Alto dos Moinhos,Medicina,"R. Francisco Ferrer 3B, 1500-461 Lisboa, Portugal",21 016 9260,N/A (Google não fornece e-mail diretamente),http://www.idam.pt/,Google Places API
AS CLÍNICAS - Alvalade,Medicina,"Praça Alvalade 6 1 andar Direito, 1700-036 Lisboa, Portugal",916 892 581,N/A (Google não fornece e-mail diretamente),http://www.asclinicas.pt/,Google Places API
Liberdade Clínica Dentária,Medicina,"Av. da Liberdade 3 2ºAndar Sala 1, 1250-144 Lisboa, Portugal",914 017 410,N/A (Google não fornece e-mail diretamente),https://ritdental.com.pt/,Google Places API
MEDIDENTAL - Dental Clinics & Wellness,Medicina,"R. Gilberto Rola 62A 1º, 1350-156 Lisboa, Portugal",21 590 0620,N/A (Google não fornece e-mail diretamente),http://www.medidental.pt/,Google Places API
Lisboa Physio,Medicina,"Av. Frei Miguel Contreiras 18 A, 1700-211 Lisboa, Portugal",918 164 417,N/A (Google não fornece e-mail diretamente),http://lisboaphysio.com/,Google Places API
AD Fisio,Medicina,"Av. da Liberdade 244 1 Andar, 1250-149 Lisboa, Portugal",969 093 815,N/A (Google não fornece e-mail diretamente),http://www.adfisio.pt/,Google Places API
"Fisidinâmica - Centro Medicina Física e de Reabilitação, Lda",Medicina,"R. Virgílio Correia 15A, 1600-219 Lisboa, Portugal",21 727 7634,N/A (Google não fornece e-mail diretamente),https://www.fisidinamica.com/,Google Places API
FisioLX,Medicina,"R. Prof. Simões Raposo 14C, 1600-662 Lisboa, Portugal",21 716 1670,N/A (Google não fornece e-mail diretamente),http://www.fisiolx.pt/,Google Places API
NovaPhysio Lisboa - Fisioterapia,Medicina,"R. António Albino Machado 35B, 1600-259 Lisboa, Portugal",21 726 5425,N/A (Google não fornece e-mail diretamente),http://novaphysio.pt/,Google Places API
Clinisete,Medicina,"Av. Duque de Ávila 112 A, 1050-084 Lisboa, Portugal",21 358 0082,N/A (Google não fornece e-mail diretamente),http://www.clinisete.pt/,Google Places API
